trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score
2026-06-05,300537,广信材料,26.94,6.31,19.25,2.12,5598307676.0,32.84
2026-06-05,300260,新莱应材,64.29,5.91,16.19,2.39,26217896086.0,31.87
2026-06-05,002645,华宏科技,31.17,3.9,19.88,2.71,23474763865.0,31.29
2026-06-05,300445,康斯特,24.54,6.51,8.71,2.76,5213032519.0,31.18
2026-06-05,600186,莲花控股,10.13,6.97,18.62,1.52,18160705813.0,30.85
2026-06-05,603516,淳中科技,135.02,6.83,8.88,2.46,27445283031.0,30.4
2026-06-05,002132,恒星科技,5.86,4.46,16.85,2.6,8213051930.0,30.35
2026-06-05,300066,三川智慧,6.14,5.5,6.62,3.11,6385804229.0,29.86
2026-06-05,600707,彩虹股份,11.71,6.94,11.0,2.08,42020043762.0,29.78
2026-06-05,002971,和远气体,39.3,5.11,17.73,1.96,8321971500.0,28.89
2026-06-05,002583,海能达,8.75,5.8,4.98,2.94,15912919584.0,28.79
2026-06-05,301596,瑞迪智驱,80.75,6.95,11.62,1.8,6231097975.0,28.71
2026-06-05,300121,阳谷华泰,13.21,6.36,8.98,2.25,5881575578.0,28.46
2026-06-05,002792,通宇通讯,42.5,6.92,13.11,1.61,22263031275.0,28.45
2026-06-05,002681,奋达科技,5.17,5.51,9.55,2.53,9278352039.0,28.45
2026-06-05,300292,吴通控股,6.15,5.31,19.4,1.61,8251854590.0,28.37
2026-06-05,300545,联得装备,36.12,5.68,16.52,1.72,6698864901.0,28.22
2026-06-05,003021,兆威机电,105.07,6.58,5.57,2.41,28112975748.0,28.0
2026-06-05,603583,XD捷昌驱,26.11,6.57,3.16,2.59,10072479635.0,27.67
2026-06-05,688609,九联科技,11.9,4.66,12.12,2.4,6211239486.0,27.38
2026-06-05,002106,莱宝高科,13.52,5.38,11.56,2.05,9542634483.0,26.79
2026-06-05,002465,海格通信,15.92,6.77,9.26,1.7,39510796452.0,26.67
2026-06-05,300403,汉宇集团,11.11,6.11,5.95,2.26,6699330000.0,26.5
2026-06-05,601137,博威合金,24.78,6.35,8.69,1.84,22761482555.0,26.24
2026-06-05,002115,三维通信,12.3,4.06,11.56,2.38,9975193384.0,25.8
2026-06-05,301603,乔锋智能,138.65,6.06,11.68,1.56,16743374000.0,25.76
2026-06-05,300925,法本信息,18.04,5.62,9.75,1.86,7733909368.0,25.41
2026-06-05,300811,铂科新材,93.0,5.1,11.38,1.87,37743443640.0,25.24
2026-06-05,300469,信息发展,56.09,6.98,5.34,1.72,13923715638.0,25.23
2026-06-05,002125,湘潭电化,16.98,4.81,14.34,1.68,10689102434.0,25.19
