trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,buy_zone,stop_loss,target_price
2026-06-05,002179,中航光电,39.22,6.23,3.15,1.57,83045508942.0,91.63,中,A,TRADE,38.51-38.97,37.06,41.77
2026-06-05,600549,厦门钨业,63.73,6.2,8.16,1.51,101176844691.0,91.31,中,A,TRADE,62.58-63.33,60.22,67.87
2026-06-05,603588,高能环境,13.77,6.33,4.81,1.71,20974938473.0,90.42,中,A,TRADE,13.52-13.68,13.01,14.67
2026-06-05,002536,飞龙股份,41.4,5.72,11.7,1.6,23796135763.0,89.94,低,A,TRADE,40.90-41.23,39.54,44.71
2026-06-05,600552,凯盛科技,19.74,6.42,13.01,1.36,0.0,81.22,中,B,WATCH,19.38-19.62,18.65,21.02
2026-06-05,002056,横店东磁,29.42,6.98,8.08,1.33,47857869217.0,77.79,高,B,WATCH,28.66-29.15,27.42,31.33
2026-06-05,603078,江化微,37.78,5.8,12.47,1.09,14569375229.0,77.67,中,B,WATCH,37.10-37.54,35.7,40.24
2026-06-05,600726,华电能源,10.39,7.0,7.58,1.53,0.0,73.81,高,C,AVOID,10.12-10.30,9.68,11.07
2026-06-05,600563,法拉电子,171.74,6.67,5.98,1.13,0.0,70.86,中,C,AVOID,168.65-170.66,162.29,182.9
2026-06-05,002132,恒星科技,5.61,5.06,16.06,4.05,7862665756.0,55.2,高,C,AVOID,5.46-5.56,5.23,6.06
