trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,buy_zone,stop_loss,target_price
2026-06-25,000056,*ST皇庭,1.97,4.79,7.6,2.3,2330000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,1.92-1.95,1.86,2.1
2026-06-25,000100,TCL科技,5.34,10.1,11.53,1.87,111077000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,5.20-5.29,5.03,5.62
2026-06-25,300819,聚杰微纤,84.22,20.01,6.87,1.85,12566000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,82.03-83.45,79.34,88.6
2026-06-25,600237,铜峰电子,12.99,9.99,17.37,1.67,8190000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,12.65-12.87,12.24,13.67
2026-06-25,002654,万润科技,20.72,9.98,12.15,1.6,17515000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,20.18-20.53,19.52,21.8
2026-06-25,300223,北京君正,237.36,20.0,13.15,1.44,114803000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,231.19-235.20,223.59,249.7
2026-06-25,002579,中京电子,21.3,10.02,22.11,1.36,13049000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,20.75-21.11,20.06,22.41
2026-06-25,000636,风华高科,79.62,10.0,12.2,1.29,92121000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,77.55-78.90,75.0,83.76
2026-06-25,000962,东方钽业,84.02,10.0,7.5,1.15,44317000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,81.84-83.26,79.15,88.39
2026-06-25,002056,横店东磁,30.2,10.02,5.14,1.05,49127000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,29.41-29.93,28.45,31.77
2026-06-25,002080,中材科技,92.93,10.0,2.21,0.69,155948000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,90.51-92.08,87.54,97.76
2026-06-25,600584,长电科技,104.17,10.0,6.47,0.65,186403000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,101.46-103.22,98.13,109.59
2026-06-25,000823,超声电子,25.87,9.99,8.14,0.58,15391000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,25.20-25.63,24.37,27.22
2026-06-25,002484,江海股份,111.02,10.0,2.53,0.47,94425000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,108.13-110.01,104.58,116.79
2026-06-25,600667,太极实业,25.31,10.0,0.68,0.06,52937000000.0,92.0,高,A,WATCH,LIMIT_REVIEW,1-3个交易日,24.65-25.08,23.84,26.63
2026-06-25,002803,吉宏股份,27.36,4.71,8.58,2.32,12272000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,27.03-27.25,26.4,29.14
2026-06-25,600563,法拉电子,188.53,5.47,7.85,1.97,42419000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,186.27-187.74,181.93,200.78
2026-06-25,600909,华安证券,11.8,2.52,9.38,1.64,59286000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,11.66-11.75,11.39,12.57
2026-06-25,002536,飞龙股份,51.79,4.65,10.78,1.58,29768000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,51.17-51.57,49.98,55.16
2026-06-25,600601,方正科技,14.07,5.87,6.95,1.52,60132000000.0,93.5,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,13.82-13.98,13.44,14.8
2026-06-25,002079,苏州固锝,14.68,3.45,8.76,1.49,13336000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,14.50-14.62,14.17,15.63
2026-06-25,002432,九安医疗,71.9,5.66,6.06,1.48,33498000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,71.04-71.60,69.38,76.57
2026-06-25,002129,TCL中环,10.05,5.79,6.83,1.44,40633000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,9.93-10.01,9.7,10.7
2026-06-25,600198,大唐电信,9.45,4.07,4.18,1.44,12319000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,9.34-9.41,9.12,10.06
2026-06-25,002745,木林森,12.64,4.98,10.81,1.42,18760000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,12.49-12.59,12.2,13.46
2026-06-25,002785,万里石,44.66,2.81,5.86,1.31,10121000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,44.12-44.47,43.1,47.56
2026-06-25,002430,杭氧股份,28.54,4.12,3.21,1.28,27922000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,28.20-28.42,27.54,30.4
2026-06-25,605358,立昂微,68.9,2.53,10.69,1.28,53205000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,68.07-68.61,66.49,73.38
2026-06-25,603588,高能环境,19.44,5.14,7.73,1.21,29612000000.0,93.5,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,19.21-19.36,18.76,20.7
2026-06-25,603698,航天工程,39.39,5.43,10.28,3.01,21113000000.0,93.4,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,38.68-39.14,37.62,41.95
