trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,execution_status,execution_note,min_order_shares,strategy_name,strategy_stage,buy_zone,stop_loss,target_price
2026-06-30,603005,晶方科技,53.87,10.01,12.54,1.23,35132000000.0,62.53,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 -0.01 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,52.47-53.38,50.75,56.67
2026-06-30,000100,TCL科技,5.82,10.02,5.78,1.26,121061000000.0,58.29,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 -0.02 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,5.67-5.77,5.48,6.12
2026-06-30,002310,东方新能,2.39,10.14,2.29,2.14,14338000000.0,35.42,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 -0.14 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,2.33-2.37,2.25,2.51
2026-06-30,000056,*ST皇庭,2.28,5.07,0.91,0.35,2696000000.0,28.82,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 -0.07 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,2.22-2.26,2.15,2.43
2026-06-30,002208,合肥城建,19.79,7.67,13.14,2.31,15897000000.0,88.0,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,19.28-19.61,18.64,20.82
2026-06-30,601689,拓普集团,56.48,7.89,2.54,2.24,98153000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,55.46-56.12,53.94,59.42
2026-06-30,002050,三花智控,43.96,6.52,2.39,1.71,184984000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,43.17-43.68,41.98,46.25
2026-06-30,002896,中大力德,75.98,5.88,4.76,1.53,14932000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,74.61-75.50,72.56,79.93
2026-06-30,000338,潍柴动力,27.79,6.11,1.79,1.52,240721000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,27.29-27.61,26.54,29.24
2026-06-30,002579,中京电子,21.97,7.17,18.37,1.5,13459000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,21.57-21.83,20.98,23.11
2026-06-30,002031,巨轮智能,5.61,5.06,4.35,1.33,12339000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,5.51-5.57,5.36,5.97
2026-06-30,002745,木林森,12.51,5.75,6.47,1.2,18567000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,12.28-12.43,11.95,13.32
2026-06-30,603629,利通电子,186.85,5.65,7.55,1.11,49014000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,183.49-185.67,178.44,199.0
2026-06-30,002938,鹏鼎控股,107.79,6.72,1.35,1.01,249807000000.0,88.0,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,104.99-106.81,101.54,113.4
2026-06-30,002436,兴森科技,52.15,6.43,5.21,0.97,88638000000.0,88.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,51.21-51.82,49.8,54.86
