trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,execution_status,execution_note,min_order_shares,strategy_name,strategy_stage,primary_theme,theme_rank,theme_leader_role,confirmation_status,buy_zone,stop_loss,target_price
2026-07-01,600488,津药药业,5.1,5.59,8.07,1.53,5569000000.0,84.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,其他,5,普通跟踪,STANDARD_OPEN_CONFIRM,5.01-5.07,4.87,5.43
2026-07-01,603629,利通电子,189.89,6.2,6.88,1.06,49812000000.0,84.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,主线分歧承接,THEME_PULLBACK_ENTRY,半导体/PCB/通信算力,1,普通跟踪,THEME_OPEN_CONFIRM,186.47-188.69,181.34,199.76
2026-07-01,000100,TCL科技,6.06,4.12,10.43,2.21,126053000000.0,82.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,1,普通跟踪,THEME_OPEN_CONFIRM,5.95-6.02,5.79,6.45
2026-07-01,601609,金田股份,11.18,3.52,3.63,1.72,19326000000.0,82.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,1,前排核心,THEME_OPEN_CONFIRM,10.98-11.11,10.68,11.91
2026-07-01,600667,太极实业,31.05,6.41,13.74,1.67,64942000000.0,82.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,主线分歧承接,THEME_PULLBACK_ENTRY,半导体/PCB/通信算力,1,题材龙头,THEME_OPEN_CONFIRM,30.49-30.85,29.65,32.66
2026-07-01,000925,众合科技,9.65,3.32,8.38,1.19,6527000000.0,82.0,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,1,普通跟踪,THEME_OPEN_CONFIRM,9.48-9.59,9.22,10.28
2026-07-01,300442,润泽科技,91.82,10.53,3.18,2.34,150680000000.0,80.0,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,主线分歧承接,THEME_PULLBACK_ENTRY,半导体/PCB/通信算力,1,普通跟踪,THEME_OPEN_CONFIRM,90.17-91.24,87.69,96.59
2026-07-01,603477,巨星农牧,15.49,4.66,3.17,1.93,8101000000.0,84.0,低,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,其他,5,普通跟踪,STANDARD_OPEN_CONFIRM,15.30-15.42,14.95,16.5
2026-07-01,600499,科达制造,14.39,4.28,1.12,1.51,27598000000.0,84.0,低,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,机器人/汽车链,3,普通跟踪,THEME_OPEN_CONFIRM,14.22-14.33,13.89,15.33
2026-07-01,300017,网宿科技,13.57,4.3,3.41,1.23,33866000000.0,84.0,低,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,1,普通跟踪,THEME_OPEN_CONFIRM,13.41-13.51,13.1,14.45
